time_s,Ecell_V,I_mA,EnergyCharge_W_h,QCharge_mA_h,EnergyDischarge_W_h,QDischarge_mA_h,Temperature__C,cycleNumber,Ns,Clase
570.0000271,3.6482902,1504.63,0.856921172,238.2017801,0,0,21.346165,0,0,VAH25
580.0000275,3.6501422,1503.842,0.872175291,242.3808281,0,0,21.36194,0,0,VAH25
590.000028,3.6521912,1504.0391,0.887437532,246.559755,0,0,21.377714,0,0,VAH25
600.0000285,3.654043,1504.0389,0.902707722,250.73874,0,0,21.338278,0,0,VAH25
610.000029,3.6557767,1504.63,0.917985153,254.9177235,0,0,21.21208,0,0,VAH25
620.0000294,3.657747,1504.0389,0.933271137,259.0967943,0,0,21.567013,0,0,VAH25
630.0000299,3.659796,1504.63,0.948566113,263.2759826,0,0,21.338278,0,0,VAH25
640.0000304,3.6614902,1505.0242,0.963867814,267.4550736,0,0,21.432926,0,0,VAH25
650.0000309,3.6634209,1504.0391,0.979177359,271.6341032,0,0,21.259403,0,0,VAH25
660.0000313,3.6653912,1504.0388,0.994494997,275.8130948,0,0,21.527576,0,0,VAH25
670.0000318,3.6672432,1503.0538,1.009820391,279.9920904,0,0,21.432926,0,0,VAH25
680.0000323,3.669174,1503.645,1.025154133,284.1711623,0,0,21.456589,0,0,VAH25
690.0000328,3.6711047,1504.6302,1.040496156,288.3502923,0,0,21.701097,0,0,VAH25
700.0000332,3.6729567,1505.8123,1.055845671,292.5293544,0,0,21.369827,0,0,VAH25
710.0000337,3.6748874,1505.0243,1.071203225,296.7084087,0,0,21.5749,0,0,VAH25
720.0000342,3.6767788,1504.433,1.086568714,300.8874715,0,0,21.188416,0,0,VAH25
730.0000347,3.6789064,1503.6449,1.101942885,305.0664772,0,0,21.251516,0,0,VAH25
740.0000351,3.6806796,1505.0242,1.117324304,309.2454389,0,0,21.29884,0,0,VAH25
750.0000356,3.6824923,1504.6302,1.132713673,313.4245025,0,0,21.527576,0,0,VAH25
760.0000361,3.6842258,1503.4479,1.148110038,317.6034983,0,0,21.36194,0,0,VAH25
770.0000366,3.6860385,1505.2211,1.163514066,321.7825183,0,0,21.527576,0,0,VAH25
780.000037,3.6878116,1504.63,1.178925323,325.9614891,0,0,21.36194,0,0,VAH25
790.0000375,3.6895454,1504.4331,1.19434379,330.1404502,0,0,21.432926,0,0,VAH25
800.000038,3.6913972,1504.236,1.209770068,334.3194312,0,0,21.653774,0,0,VAH25
810.0000385,3.6932099,1503.6448,1.225203939,338.4984166,0,0,21.503912,0,0,VAH25
820.0000389,3.6945889,1503.6449,1.240643506,342.6773842,0,0,21.519688,0,0,VAH25
830.0000394,3.6962438,1504.8271,1.256089794,346.856299,0,0,21.275179,0,0,VAH25
840.0000399,3.6978989,1504.6301,1.271543234,351.0352777,0,0,21.26729,0,0,VAH25
850.0000404,3.6995931,1503.645,1.287003643,355.2142262,0,0,21.109543,0,0,VAH25
860.0000408,3.7008934,1503.8419,1.302469214,359.3931011,0,0,21.251516,0,0,VAH25
870.0000413,3.7025089,1504.0389,1.317941531,363.5719748,0,0,21.164755,0,0,VAH25
880.0000418,3.7039669,1503.842,1.333419736,367.7507932,0,0,21.4487,0,0,VAH25
890.0000423,3.7054641,1504.4332,1.34890461,371.929723,0,0,21.29884,0,0,VAH25
900.0000427,3.7067645,1504.8271,1.364394938,376.108658,0,0,21.36194,0,0,VAH25
910.0000432,3.7081437,1504.2358,1.379891038,380.2875953,0,0,21.39349,0,0,VAH25
920.0000437,3.7094834,1503.4479,1.395392528,384.4664763,0,0,21.314615,0,0,VAH25
